"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
            Тестирует GET /challenges с различными заголовками.
            ","111","Get all challenges. Using extra headers[None]","tests","Sat May 31 19:02:23 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos{id} с различными заголовками.
            ","18","GET todo with ID [None] (None for random)","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos с различными заголовками.
            ","10","Get all todos. Headers[{'Authorization': 'Bearer invalid'}] Params [None]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"","0","Get new challenger token","tests","Sat May 31 19:02:23 GMT 2025","skipped","Sat May 31 19:02:23 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos с различными заголовками.
            ","12","Get all todos. Headers[None] Params [{'id': 3}]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos с различными заголовками.
            ","9","Get all todos. Headers[{'X-Challenger': 'test_token', 'Accept': 'application/xml'}] Params [None]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos{id} с различными заголовками.
            ","8","GET todo with ID [150] (None for random)","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos с различными заголовками.
            ","10","Get all todos. Headers[None] Params [{'doneStatus': True}]","tests","Sat May 31 19:02:24 GMT 2025","failed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos{id} с различными заголовками.
            ","17","GET todo with ID [None] (None for random)","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos с различными заголовками.
            ","8","Get all todos. Headers[{'X-Challenger': ''}] Params [None]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos{id} с различными заголовками.
            ","9","GET todo with ID [5] (None for random)","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /todos с различными заголовками.
            ","9","Get all todos. Headers[None] Params [None]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /challenges с различными заголовками.
            ","13","Get all challenges. Using extra headers[{'X-Challenger': 'test_token', 'Accept': 'application/xml'}]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /challenges с различными заголовками.
            ","11","Get all challenges. Using extra headers[{'X-Challenger': ''}]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"
            Тестирует GET /challenges с различными заголовками.
            ","11","Get all challenges. Using extra headers[{'Authorization': 'Bearer invalid'}]","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
"","6","HEAD request /todos","tests","Sat May 31 19:02:24 GMT 2025","passed","Sat May 31 19:02:24 GMT 2025","TestChallenges","test_challenges","",""
